"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","occurrenceRemarks","informationWithheld","reproductiveCondition","identificationRemarks","projectId","individualCount"
"1","Asclepias speciosa Torr.","-119.31186","45.92751","cdround","gbif","2563625405","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:33:33.987+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-01-28T01:58:22","      6.0","Oregon","2020","1","27","2020-01-27","2020-01-28T08:00:25.000+00:00","2022-02-25T19:33:33.987+00:00","https://www.inaturalist.org/observations/38046457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Ken Chamberlain","38046457","kenchamberlain","Mon Jan 27 2020 13:37:48 GMT-0800 (PST)","iNaturalist research-grade observations","Umatilla, OR, US","2563625405","Observations","https://www.inaturalist.org/observations/38046457","62292","Ken Chamberlain","38046457","iNaturalist","21:37:48Z","Ken Chamberlain","wild","85170039",NA,NA,NA,NA,NA,NA
"2","Asclepias speciosa Torr.","-111.94982","40.71202","cdround","gbif","2573843802","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:56:06.332+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-02-02T20:43:08","      6.0","Utah","2020","1","27","2020-01-27","2020-02-05T06:34:36.000+00:00","2022-02-25T19:56:06.332+00:00","https://www.inaturalist.org/observations/38230099","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Kayla E","38230099","krechols13","2020/01/27 12:29 PM MST","iNaturalist research-grade observations","West Valley City, UT, USA","2573843802","Observations","https://www.inaturalist.org/observations/38230099","62292","Kayla E","38230099","iNaturalist","19:29:00Z","Kayla E","wild","85729905",NA,NA,NA,NA,NA,NA
"3","Asclepias speciosa Torr.","-105.02935","40.56370","cdround","gbif","2574076560","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:46:13.451+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-01-16T04:13:43","     35.0","Colorado","2020","1","15","2020-01-15","2020-02-11T01:10:54.000+00:00","2022-02-25T19:46:13.451+00:00","https://www.inaturalist.org/observations/37639450","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Matt Webb","37639450","mmwebb","2020-01-15 11:22:09 AM MST","iNaturalist research-grade observations","Sharp Point & March, Fort Collins, CO 80525, USA","2574076560","Observations","https://www.inaturalist.org/observations/37639450","62292","Matt Webb","37639450","iNaturalist","18:22:09Z","Matt Webb","wild","83815948",NA,NA,NA,NA,NA,NA
"4","Asclepias speciosa Torr.","-111.89471","40.42001","cdround","gbif","2573954906","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:52:02.037+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-02-13T22:48:56","      5.0","Utah","2020","2","13","2020-02-13","2020-02-16T00:51:40.000+00:00","2022-02-25T19:52:02.037+00:00","https://www.inaturalist.org/observations/38618921","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","aestable","38618921","aestable","Thu Feb 13 2020 15:46:51 GMT-0700 (MST)","iNaturalist research-grade observations","Thanksgiving Point Golf Club, Lehi, UT, US","2573954906","Observations","https://www.inaturalist.org/observations/38618921","62292","aestable","38618921","iNaturalist","22:46:51Z","aestable","wild","86900766",NA,NA,NA,NA,NA,NA
"5","Asclepias speciosa Torr.","-105.03671","40.56839","cdround","gbif","2574193919","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:56:30.221+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-02-02T23:16:49","     19.0","Colorado","2020","2"," 1","2020-02-01","2020-02-20T00:18:12.000+00:00","2022-02-25T19:56:30.221+00:00","https://www.inaturalist.org/observations/38236576","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Matt Webb","38236576","mmwebb","2020-02-01 4:19:00 PM MST","iNaturalist research-grade observations","Fort Collins, CO 80525, USA","2574193919","Observations","https://www.inaturalist.org/observations/38236576","62292","Matt Webb","38236576","iNaturalist","23:19:00Z","Matt Webb","wild","85744940",NA,NA,NA,NA,NA,NA
"6","Asclepias speciosa Torr.","-111.63136","40.18705","cdround","gbif","3031819710","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T20:11:09.477+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-05-27T02:29:34","      5.0","Utah","2020","2"," 1","2020-02-01","2021-01-14T18:39:49.000+00:00","2022-02-25T20:11:09.477+00:00","https://www.inaturalist.org/observations/47470913","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Kayla E","47470913","krechols13","2020/02/01 12:00 PM MST","iNaturalist research-grade observations","Springville, UT, USA","3031819710","Observations","https://www.inaturalist.org/observations/47470913","62292","Kayla E","47470913","iNaturalist","19:00:00Z","Kayla E","wild","105983592",NA,NA,NA,NA,NA,NA
"7","Asclepias speciosa Torr.","-110.00018","38.72520","cdround","gbif","2580079390","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T20:11:48.779+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-03-16T01:30:09","      5.0","Utah","2020","3","15","2020-03-15","2020-03-16T02:48:10.000+00:00","2022-02-25T20:11:48.779+00:00","https://www.inaturalist.org/observations/40059018","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Joan","40059018","ramblinghemlock","Sun Mar 15 2020 10:10:58 GMT-0600 (MDT)","iNaturalist research-grade observations","Grand County, US-UT, US","2580079390","Observations","https://www.inaturalist.org/observations/40059018","62292","Joan","40059018","iNaturalist","16:10:58Z","Chad Welch","wild","90579122",NA,NA,NA,NA,NA,NA
"8","Asclepias speciosa Torr.","-109.13622","40.86469","cdround","gbif","2596138818","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:32:38.420+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-03-24T01:46:52","   4386.0","Utah","2020","3","23","2020-03-23","2020-03-24T15:45:43.000+00:00","2022-02-25T19:32:38.420+00:00","https://www.inaturalist.org/observations/40617586","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","threeagoutdoors","40617586","threeagoutdoors","Mon Mar 23 2020 20:41:45 GMT-0500 (CDT)","iNaturalist research-grade observations","Dutch John, UT, US","2596138818","Observations","https://www.inaturalist.org/observations/40617586","62292","threeagoutdoors","40617586","iNaturalist","20:41:45Z","threeagoutdoors","wild","91792693",NA,NA,NA,NA,NA,NA
"9","Asclepias speciosa Torr.","-105.19398","40.04317","cdround","gbif","2596292014","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:34:03.764+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-03-25T23:07:27","    674.0","Colorado","2020","3","25","2020-03-25","2020-03-26T15:31:20.000+00:00","2022-02-25T19:34:03.764+00:00","https://www.inaturalist.org/observations/40721867","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Suzanne Dingwell","40721867","suzanne11","2020/03/25 4:31 PM -0600","iNaturalist research-grade observations","Boulder County, CO, USA","2596292014","Observations","https://www.inaturalist.org/observations/40721867","62292","Suzanne Dingwell","40721867","iNaturalist","22:31:00Z","Suzanne Dingwell","wild","92046125","Sawmill Ponds",NA,NA,NA,NA,NA
"10","Asclepias speciosa Torr.","-104.71497","39.58293","cdround","gbif","3314471336","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:57:58.019+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-12-04T19:11:45","      4.0","Colorado","2020","3"," 9","2020-03-09","2021-06-20T13:41:41.000+00:00","2022-02-25T19:57:58.019+00:00","https://www.inaturalist.org/observations/39750584","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","jghnature","39750584","jghnature","Mon Mar 09 2020 07:37:26 GMT-0600 (MDT)","iNaturalist research-grade observations","Red-tailed Hawk Park, Aurora, CO, US","3314471336","Observations","https://www.inaturalist.org/observations/39750584","62292","jghnature","39750584","iNaturalist","13:37:26Z","Margo Yousse","wild","144821477",NA,NA,NA,NA,NA,NA
"11","Asclepias speciosa Torr.","-105.15418","40.02022","cdround","gbif","2610983887","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:41:44.582+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-24T17:52:00","    432.0","Colorado","2020","4","24","2020-04-24","2020-04-24T17:56:48.000+00:00","2022-02-25T19:41:44.582+00:00","https://www.inaturalist.org/observations/43128038","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Suzanne Dingwell","43128038","suzanne11","2020/04/24 11:26 AM -0600","iNaturalist research-grade observations","Boulder County, CO, USA","2610983887","Observations","https://www.inaturalist.org/observations/43128038","62292","Suzanne Dingwell","43128038","iNaturalist","17:26:00Z","Suzanne Dingwell","wild","97424040",NA,NA,NA,NA,NA,NA
"12","Asclepias speciosa Torr.","-121.76204","39.64098","cdround","gbif","2611130976","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:57:07.478+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-27T19:34:33","  28060.0","California","2020","4","27","2020-04-27","2020-04-27T20:36:50.000+00:00","2022-02-25T19:57:07.478+00:00","https://www.inaturalist.org/observations/43965488","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","judruh","43965488","judruh","Mon Apr 27 2020 11:36:29 GMT-0700 (PDT)","iNaturalist research-grade observations","Butte County, US-CA, US","2611130976","Observations","https://www.inaturalist.org/observations/43965488","62292","judruh","43965488","iNaturalist","18:36:29Z","judruh","wild","98770526",NA,"Coordinate uncertainty increased to 28060m at the request of the observer",NA,NA,NA,NA
"13","Asclepias speciosa Torr.","-105.05023","39.93366","cdround","gbif","2611133339","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:33:34.624+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-26T19:29:58","      4.0","Colorado","2020","4","26","2020-04-26","2020-04-27T14:52:27.000+00:00","2022-02-25T19:33:34.624+00:00","https://www.inaturalist.org/observations/43704008","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","mpchady","43704008","mpchady","2020-04-26 1:29:05 PM MDT","iNaturalist research-grade observations","Westminster, CO 80020, USA","2611133339","Observations","https://www.inaturalist.org/observations/43704008","62292","mpchady","43704008","iNaturalist","19:29:05Z","mpchady","wild","98335002",NA,NA,NA,NA,NA,NA
"14","Asclepias speciosa Torr.","-121.31176","38.61734","cdround","gbif","2611140581","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:57:09.778+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-28T04:25:11","     10.0","California","2020","4","27","2020-04-27","2020-04-30T05:23:55.000+00:00","2022-02-25T19:57:09.778+00:00","https://www.inaturalist.org/observations/44080321","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Petunia Loo","44080321","petunialoo","2020/04/27 1:26 PM PDT","iNaturalist research-grade observations","Carmichael, CA, USA","2611140581","Observations","https://www.inaturalist.org/observations/44080321","62292","Petunia Loo","44080321","iNaturalist","20:26:00Z","Petunia Loo","wild","98955414",NA,NA,NA,NA,NA,NA
"15","Asclepias speciosa Torr.","-111.60176","40.08312","cdround","gbif","2611196822","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:48:27.320+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-27T17:05:07","      3.0","Utah","2020","4","26","2020-04-26","2020-04-27T17:27:28.000+00:00","2022-02-25T19:48:27.320+00:00","https://www.inaturalist.org/observations/43930319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Kayla E","43930319","krechols13","2020/04/26 4:11 PM MDT","iNaturalist research-grade observations","Spanish Fork, UT 84660, USA","2611196822","Observations","https://www.inaturalist.org/observations/43930319","62292","Kayla E","43930319","iNaturalist","22:11:00Z","Kayla E","wild","98714758",NA,NA,NA,NA,NA,NA
"16","Asclepias speciosa Torr.","-105.05860","40.18835","cdround","gbif","2611206920","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:47:32.883+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-27T14:38:27","     39.0","Colorado","2020","4","26","2020-04-26","2020-04-27T22:39:57.000+00:00","2022-02-25T19:47:32.883+00:00","https://www.inaturalist.org/observations/43785796","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","katmpp","43785796","katmpp","Sun Apr 26 2020 15:15:08 GMT-0600 (MDT)","iNaturalist research-grade observations","Jim Hamm Nature Area, Longmont, CO, US","2611206920","Observations","https://www.inaturalist.org/observations/43785796","62292","katmpp","43785796","iNaturalist","21:15:08Z","jackerfield","wild","98661155",NA,NA,NA,NA,NA,NA
"17","Asclepias speciosa Torr.","-105.15165","40.19042","cdround","gbif","2611270347","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:47:12.576+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-25T22:19:47","    122.0","Colorado","2020","4","25","2020-04-25","2020-04-27T15:03:05.000+00:00","2022-02-25T19:47:12.576+00:00","https://www.inaturalist.org/observations/43468562","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Phyllis Holst","43468562","phyllisholst","2020/04/25 3:50 PM MDT","iNaturalist research-grade observations","Lakeshore, Longmont, CO 80503, USA","2611270347","Observations","https://www.inaturalist.org/observations/43468562","62292","Phyllis Holst","43468562","iNaturalist","21:50:00Z","Phyllis Holst","wild","97948514","Last year's seed pod and one seed.",NA,"fruiting",NA,NA,NA
"18","Asclepias speciosa Torr.","-104.83302","39.75744","cdround","gbif","2611313475","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:34:31.177+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-25T15:38:07","     65.0","Colorado","2020","4","25","2020-04-25","2020-04-25T16:00:16.000+00:00","2022-02-25T19:34:31.177+00:00","https://www.inaturalist.org/observations/43332673","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","sturgillrhein","43332673","sturgillrhein","Sat Apr 25 2020 08:40:04 GMT-0600 (MDT)","iNaturalist research-grade observations","Vaughn St, Aurora, CO, US","2611313475","Observations","https://www.inaturalist.org/observations/43332673","62292","sturgillrhein","43332673","iNaturalist","14:40:04Z","katesees","wild","97775657",NA,NA,NA,"Dried seed pods from winter season",NA,NA
"19","Asclepias speciosa Torr.","-106.66425","35.09743","cdround","gbif","2619991534","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:33:40.221+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-05-03T04:11:38","     65.0","New Mexico","2020","4","27","2020-04-27","2020-05-03T15:43:46.000+00:00","2022-02-25T19:33:40.221+00:00","https://www.inaturalist.org/observations/44688134","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Cirrelda Snider","44688134","treestreet","Mon Apr 27 2020 10:19:11 GMT-0600 (MDT)","iNaturalist research-grade observations","Explora, Albuquerque, NM, US","2619991534","Observations","https://www.inaturalist.org/observations/44688134","62292","Cirrelda Snider","44688134","iNaturalist","16:19:11Z","Cirrelda Snider","wild","100370465",NA,NA,NA,NA,NA,NA
"20","Asclepias speciosa Torr.","-112.77285","49.69655","cdround","gbif","2620015575","Asclepias speciosa Torr.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:33:43.150+00:00","294","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170260","6","7707728","220","412","6701","3170229","3170260","3170260","Asclepias speciosa Torr.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","Asclepias","speciosa","SPECIES","ACCEPTED","NE","2020-04-17T04:28:16",NA,"Alberta","2020","4","16","2020-04-16","2020-04-17T23:01:52.000+00:00","2022-02-25T19:33:43.150+00:00","https://www.inaturalist.org/observations/42370776","http://creativecommons.org/publicdomain/zero/1.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","CA","Canada","Jason Headley","42370776","jasonheadley","2020/04/16 1:35 PM PDT","iNaturalist research-grade observations","Division No. 2, Alberta, Canada","2620015575","Observations","https://www.inaturalist.org/observations/42370776","62292","Jason Headley","42370776","iNaturalist","20:35:00Z","Jason Headley","wild","95901525",NA,NA,NA,NA,NA,NA
